file	transplantNum	leaf	petioleLength	bladeLength	bladeWidth	bladeArea	bladePerimeter	bladeCircularity
scan-36_plant-685.tiff (blue)	685	8	0.687	0.827	0.464	0.301	2.677	0.528
scan-36_plant-685.tiff (blue)	685	9	0.580	0.845	0.454	0.301	2.850	0.466
scan-36_plant-685.tiff (blue)	685	10	0.471	0.693	0.442	0.240	2.463	0.498

scan-37_plant-501.tiff (blue)	501	1	0.179	0.236	0.218	0.040	0.933	0.584
scan-37_plant-501.tiff (blue)	501	2	0.294	0.296	0.264	0.061	1.143	0.590
scan-37_plant-501.tiff (blue)	501	3	0.376	0.509	0.415	0.166	1.883	0.588
scan-37_plant-501.tiff (blue)	501	4	0.514	0.363	0.350	0.100	1.477	0.576
scan-37_plant-501.tiff (blue)	501	5	0.331	0.367	0.249	0.072	1.287	0.545
scan-37_plant-501.tiff (blue)	501	6	0.646	0.657	0.405	0.209	2.177	0.555
scan-37_plant-501.tiff (blue)	501	7	0.584	0.733	0.391	0.225	2.283	0.542
scan-37_plant-501.tiff (blue)	501	8	0.679	0.738	0.527	0.306	2.587	0.574
scan-37_plant-501.tiff (blue)	501	9	0.549	0.718	0.396	0.223	2.333	0.516
scan-37_plant-501.tiff (blue)	501	10	0.710	0.690	0.398	0.216	2.263	0.529

scan-38_plant-521.tiff (blue)	521	1	0.211	0.243	0.220	0.042	0.920	0.623
scan-38_plant-521.tiff (blue)	521	2	0.247	0.296	0.230	0.054	1.087	0.570
scan-38_plant-521.tiff (blue)	521	3	0.442	0.547	0.410	0.176	1.953	0.581
scan-38_plant-521.tiff (blue)	521	4	0.502	0.630	0.431	0.213	2.180	0.563
scan-38_plant-521.tiff (blue)	521	5	0.572	0.747	0.457	0.268	2.557	0.515
scan-38_plant-521.tiff (blue)	521	6	0.625	0.929	0.358	0.261	2.673	0.460
scan-38_plant-521.tiff (blue)	521	7	0.701	0.966	0.396	0.301	2.867	0.460
scan-38_plant-521.tiff (blue)	521	8	0.673	0.997	0.340	0.266	2.947	0.385
scan-38_plant-521.tiff (blue)	521	9	0.655	1.044	0.402	0.330	2.993	0.462
scan-38_plant-521.tiff (blue)	521	10	0.561	1.063	0.387	0.323	3.073	0.430

scan-39_plant-543.tiff (blue)	543	1	0.229	0.281	0.269	0.059	1.120	0.596
scan-39_plant-543.tiff (blue)	543	2	0.212	0.288	0.251	0.057	1.103	0.586
scan-39_plant-543.tiff (blue)	543	3	0.451	0.497	0.421	0.165	1.887	0.581
scan-39_plant-543.tiff (blue)	543	4	0.595	0.618	0.459	0.223	2.210	0.573
scan-39_plant-543.tiff (blue)	543	5	0.649	0.871	0.468	0.320	2.763	0.527
scan-39_plant-543.tiff (blue)	543	6	0.705	1.032	0.411	0.333	2.973	0.474
scan-39_plant-543.tiff (blue)	543	7	0.845	0.969	0.399	0.304	2.980	0.430
scan-39_plant-543.tiff (blue)	543	8	0.763	1.020	0.422	0.338	3.150	0.428
scan-39_plant-543.tiff (blue)	543	9	0.816	0.999	0.407	0.319	2.977	0.452
scan-39_plant-543.tiff (blue)	543	10	0.671	1.114	0.427	0.374	3.237	0.448

scan-40_plant-554.tiff (blue)	554	1	0.219	0.246	0.216	0.042	0.957	0.573
scan-40_plant-554.tiff (blue)	554	2	0.138	0.242	0.216	0.041	0.927	0.602
scan-40_plant-554.tiff (blue)	554	3	0.410	0.495	0.416	0.162	1.867	0.583
scan-40_plant-554.tiff (blue)	554	4	0.469	0.563	0.467	0.207	2.113	0.582
scan-40_plant-554.tiff (blue)	554	5	0.546	0.805	0.452	0.286	2.600	0.531
scan-40_plant-554.tiff (blue)	554	6	0.660	0.981	0.471	0.363	3.033	0.496
scan-40_plant-554.tiff (blue)	554	7	0.721	0.964	0.458	0.347	2.980	0.491
scan-40_plant-554.tiff (blue)	554	8	0.724	1.059	0.472	0.392	3.190	0.485
scan-40_plant-554.tiff (blue)	554	9	0.617	1.013	0.421	0.335	2.990	0.471
scan-40_plant-554.tiff (blue)	554	10	0.637	0.911	0.400	0.287	2.750	0.476

scan-41_plant-562.tiff (blue)	562	1	0.170	0.263	0.211	0.044	0.970	0.583
scan-41_plant-562.tiff (blue)	562	2	0.136	0.214	0.197	0.033	0.857	0.569
scan-41_plant-562.tiff (blue)	562	3	0.289	0.362	0.252	0.072	1.253	0.574
scan-41_plant-562.tiff (blue)	562	4	0.262	0.322	0.304	0.077	1.250	0.618
scan-41_plant-562.tiff (blue)	562	5	0.371	0.484	0.339	0.129	1.733	0.539
scan-41_plant-562.tiff (blue)	562	6	0.454	0.623	0.411	0.201	2.157	0.543
scan-41_plant-562.tiff (blue)	562	7	0.414	0.681	0.409	0.219	2.300	0.519
scan-41_plant-562.tiff (blue)	562	8	0.427	0.734	0.410	0.236	2.420	0.507
scan-41_plant-562.tiff (blue)	562	9	0.381	0.665	0.345	0.180	2.107	0.510
scan-41_plant-562.tiff (blue)	562	10	0.219	0.565	0.265	0.118	1.783	0.465

scan-42_plant-578.tiff (blue)	578	1	0.113	0.238	0.169	0.032	0.890	0.501
scan-42_plant-578.tiff (blue)	578	2	0.115	0.268	0.214	0.045	0.983	0.586
scan-42_plant-578.tiff (blue)	578	3	0.336	0.375	0.312	0.092	1.427	0.566
scan-42_plant-578.tiff (blue)	578	4	0.399	0.467	0.425	0.156	1.847	0.573
scan-42_plant-578.tiff (blue)	578	5	0.531	0.758	0.449	0.267	2.467	0.552
scan-42_plant-578.tiff (blue)	578	6	0.553	0.720	0.446	0.252	2.403	0.549
scan-42_plant-578.tiff (blue)	578	7	0.689	0.872	0.501	0.343	2.867	0.525
scan-42_plant-578.tiff (blue)	578	8	0.729	0.906	0.495	0.353	2.950	0.509
scan-42_plant-578.tiff (blue)	578	9	0.646	0.953	0.493	0.369	3.130	0.473
scan-42_plant-578.tiff (blue)	578	10	0.726	1.014	0.501	0.399	3.253	0.473

scan-43_plant-604.tiff (blue)	604	1	0.260	0.243	0.227	0.043	0.953	0.599
scan-43_plant-604.tiff (blue)	604	2	0.242	0.229	0.202	0.036	0.867	0.608
scan-43_plant-604.tiff (blue)	604	3	0.437	0.449	0.389	0.137	1.730	0.576
scan-43_plant-604.tiff (blue)	604	4	0.431	0.551	0.467	0.202	2.087	0.583
scan-43_plant-604.tiff (blue)	604	5	0.576	0.697	0.447	0.245	2.383	0.541
scan-43_plant-604.tiff (blue)	604	6	0.656	0.812	0.458	0.292	2.607	0.540
scan-43_plant-604.tiff (blue)	604	7	0.755	0.884	0.405	0.281	2.683	0.490
scan-43_plant-604.tiff (blue)	604	8	0.935	0.950	0.465	0.347	2.937	0.506
scan-43_plant-604.tiff (blue)	604	9	0.790	0.969	0.492	0.374	3.063	0.501
scan-43_plant-604.tiff (blue)	604	10	0.754	0.987	0.432	0.335	2.947	0.484

